order_id,order_purchase_timestamp,customer_state,product_category_name,price,delivery_time_days,review_score
ORD-00000,2026-05-02 00:54:37.852111,PE,Beleza e Saúde,978.29,26,2
ORD-00001,2025-08-29 00:54:37.852111,AM,Cama Mesa Banho,1196.8,20,1
ORD-00002,2025-11-15 00:54:37.852111,BA,Esportes,880.47,24,2
ORD-00003,2026-04-28 00:54:37.852111,SP,Cama Mesa Banho,686.58,1,4
ORD-00004,2026-06-02 00:54:37.852111,RS,Cama Mesa Banho,1299.94,13,1
ORD-00005,2026-02-05 00:54:37.852111,RS,Cama Mesa Banho,54.06,16,3
ORD-00006,2026-07-23 00:54:37.852111,PR,Móveis,1937.74,6,3
ORD-00007,2026-05-02 00:54:37.852111,AM,Esportes,502.55,21,1
ORD-00008,2026-04-13 00:54:37.852111,SC,Informática,1838.34,10,4
ORD-00009,2026-01-10 00:54:37.852111,RS,Cama Mesa Banho,262.58,5,4
ORD-00010,2025-09-16 00:54:37.852111,RJ,Informática,514.27,5,5
ORD-00011,2026-05-17 00:54:37.852111,SC,Esportes,508.0,12,4
ORD-00012,2026-05-05 00:54:37.852111,PE,Cama Mesa Banho,1992.5,14,2
ORD-00013,2025-08-18 00:54:37.852111,PE,Informática,58.97,23,3
ORD-00014,2026-03-14 00:54:37.852111,BA,Eletrônicos,1297.29,9,3
ORD-00015,2026-04-04 00:54:37.852111,SC,Informática,1745.89,5,5
ORD-00016,2026-03-16 00:54:37.852111,RJ,Esportes,1360.93,5,4
ORD-00017,2025-10-08 00:54:37.852111,BA,Cama Mesa Banho,757.33,18,3
ORD-00018,2025-11-28 00:54:37.852111,PR,Móveis,1918.7,7,5
ORD-00019,2025-09-03 00:54:37.852111,SC,Esportes,1792.37,12,4
ORD-00020,2025-10-23 00:54:37.852111,AM,Móveis,896.21,20,1
ORD-00021,2026-02-02 00:54:37.852111,PE,Cama Mesa Banho,1167.99,22,2
ORD-00022,2025-11-09 00:54:37.852111,PE,Informática,1936.66,17,1
ORD-00023,2026-03-05 00:54:37.852111,MG,Eletrônicos,1965.99,6,4
ORD-00024,2025-10-03 00:54:37.852111,BA,Eletrônicos,927.16,15,3
ORD-00025,2026-07-22 00:54:37.852111,SP,Esportes,1702.33,9,4
ORD-00026,2025-12-03 00:54:37.852111,SP,Esportes,638.86,3,2
ORD-00027,2025-12-20 00:54:37.852111,BA,Esportes,775.04,28,1
ORD-00028,2025-09-02 00:54:37.852111,AM,Beleza e Saúde,371.4,18,2
ORD-00029,2026-06-25 00:54:37.852111,CE,Eletrônicos,457.91,11,4
ORD-00030,2026-06-15 00:54:37.852111,BA,Eletrônicos,1330.9,24,2
ORD-00031,2026-02-24 00:54:37.852111,AM,Cama Mesa Banho,1046.02,18,2
ORD-00032,2026-02-06 00:54:37.852111,PR,Beleza e Saúde,500.71,12,4
ORD-00033,2025-11-15 00:54:37.852111,PE,Esportes,835.67,24,1
ORD-00034,2026-02-04 00:54:37.852111,RJ,Esportes,777.71,5,5
ORD-00035,2026-02-19 00:54:37.852111,CE,Móveis,1975.35,15,3
ORD-00036,2026-06-23 00:54:37.852111,SC,Beleza e Saúde,1714.45,12,4
ORD-00037,2025-08-14 00:54:37.852111,CE,Informática,806.53,18,2
ORD-00038,2026-06-19 00:54:37.852111,RJ,Eletrônicos,1832.14,6,5
ORD-00039,2025-12-12 00:54:37.852111,MG,Cama Mesa Banho,718.14,1,5
ORD-00040,2025-09-27 00:54:37.852111,PE,Informática,1352.41,20,1
ORD-00041,2026-04-04 00:54:37.852111,SP,Informática,1934.97,3,5
ORD-00042,2025-10-10 00:54:37.852111,AM,Cama Mesa Banho,811.04,26,2
ORD-00043,2026-03-31 00:54:37.852111,BA,Esportes,1375.78,21,1
ORD-00044,2026-07-23 00:54:37.852111,BA,Eletrônicos,627.05,19,3
ORD-00045,2025-09-18 00:54:37.852111,SP,Móveis,569.31,5,5
ORD-00046,2026-02-27 00:54:37.852111,CE,Esportes,1169.61,13,1
ORD-00047,2025-11-12 00:54:37.852111,PE,Esportes,1959.57,26,2
ORD-00048,2026-05-16 00:54:37.852111,RS,Beleza e Saúde,933.61,15,2
ORD-00049,2025-10-01 00:54:37.852111,AM,Informática,1878.39,19,3
ORD-00050,2026-07-30 00:54:37.852111,PR,Informática,1833.01,14,4
ORD-00051,2025-12-14 00:54:37.852111,RJ,Eletrônicos,544.84,3,5
ORD-00052,2025-11-21 00:54:37.852111,CE,Informática,833.55,14,5
ORD-00053,2025-09-01 00:54:37.852111,SC,Móveis,1304.44,10,3
ORD-00054,2026-06-21 00:54:37.852111,MG,Móveis,1060.19,5,5
ORD-00055,2025-09-07 00:54:37.852111,BA,Móveis,237.12,16,4
ORD-00056,2026-05-13 00:54:37.852111,CE,Cama Mesa Banho,1987.71,20,2
ORD-00057,2025-11-22 00:54:37.852111,MG,Eletrônicos,1517.68,5,5
ORD-00058,2026-07-09 00:54:37.852111,RJ,Móveis,903.5,3,4
ORD-00059,2026-01-19 00:54:37.852111,BA,Beleza e Saúde,1255.43,20,2
ORD-00060,2026-05-24 00:54:37.852111,BA,Beleza e Saúde,220.77,22,1
ORD-00061,2026-06-24 00:54:37.852111,RS,Esportes,1015.84,10,4
ORD-00062,2025-08-18 00:54:37.852111,CE,Esportes,1865.12,23,2
ORD-00063,2026-08-11 00:54:37.852111,PE,Eletrônicos,1798.37,11,5
ORD-00064,2026-06-20 00:54:37.852111,SP,Esportes,707.89,5,5
ORD-00065,2026-04-29 00:54:37.852111,SP,Esportes,1086.17,2,4
ORD-00066,2025-11-26 00:54:37.852111,PR,Beleza e Saúde,1409.9,6,3
ORD-00067,2025-10-07 00:54:37.852111,SC,Esportes,713.02,8,4
ORD-00068,2026-02-03 00:54:37.852111,MG,Beleza e Saúde,176.51,3,5
ORD-00069,2026-01-07 00:54:37.852111,CE,Móveis,1035.61,15,4
ORD-00070,2026-06-30 00:54:37.852111,AM,Móveis,1223.19,16,4
ORD-00071,2026-03-04 00:54:37.852111,SC,Eletrônicos,61.39,12,3
ORD-00072,2026-01-23 00:54:37.852111,RS,Cama Mesa Banho,236.37,9,3
ORD-00073,2025-11-16 00:54:37.852111,BA,Esportes,454.22,10,3
ORD-00074,2025-08-27 00:54:37.852111,PE,Móveis,728.7,23,2
ORD-00075,2025-10-13 00:54:37.852111,CE,Móveis,1105.05,13,3
ORD-00076,2025-11-15 00:54:37.852111,SC,Eletrônicos,622.99,9,4
ORD-00077,2026-01-10 00:54:37.852111,SC,Informática,588.56,11,3
ORD-00078,2025-12-04 00:54:37.852111,PE,Informática,1745.23,18,2
ORD-00079,2026-02-04 00:54:37.852111,PR,Eletrônicos,332.85,13,2
ORD-00080,2025-10-21 00:54:37.852111,MG,Beleza e Saúde,1016.15,5,5
ORD-00081,2026-01-12 00:54:37.852111,MG,Cama Mesa Banho,1908.01,3,5
ORD-00082,2026-01-17 00:54:37.852111,SC,Eletrônicos,1268.78,16,3
ORD-00083,2025-12-19 00:54:37.852111,RJ,Informática,1448.55,5,4
ORD-00084,2025-09-09 00:54:37.852111,SC,Cama Mesa Banho,890.91,9,2
ORD-00085,2026-06-21 00:54:37.852111,SC,Móveis,88.87,12,5
ORD-00086,2025-11-06 00:54:37.852111,PE,Eletrônicos,1309.95,19,3
ORD-00087,2026-01-08 00:54:37.852111,BA,Beleza e Saúde,1282.25,19,1
ORD-00088,2025-12-04 00:54:37.852111,PE,Cama Mesa Banho,265.33,30,2
ORD-00089,2026-02-06 00:54:37.852111,CE,Informática,951.21,16,4
ORD-00090,2026-07-03 00:54:37.852111,SC,Móveis,1834.89,9,4
ORD-00091,2026-03-09 00:54:37.852111,MG,Eletrônicos,449.92,5,5
ORD-00092,2026-07-29 00:54:37.852111,AM,Esportes,949.14,23,2
ORD-00093,2025-10-16 00:54:37.852111,MG,Móveis,949.15,1,3
ORD-00094,2026-06-09 00:54:37.852111,SP,Informática,1630.98,1,5
ORD-00095,2025-09-02 00:54:37.852111,PR,Eletrônicos,1657.92,8,4
ORD-00096,2025-09-20 00:54:37.852111,RS,Informática,1530.58,5,4
ORD-00097,2026-08-04 00:54:37.852111,CE,Esportes,762.64,15,3
ORD-00098,2025-09-03 00:54:37.852111,CE,Móveis,190.47,20,1
ORD-00099,2026-04-06 00:54:37.852111,PR,Cama Mesa Banho,731.49,7,5
ORD-00100,2026-03-30 00:54:37.852111,AM,Cama Mesa Banho,1375.59,10,3
ORD-00101,2026-06-11 00:54:37.852111,RS,Móveis,1420.36,10,3
ORD-00102,2026-03-27 00:54:37.852111,BA,Cama Mesa Banho,1931.75,22,2
ORD-00103,2026-05-24 00:54:37.852111,SC,Eletrônicos,934.6,4,5
ORD-00104,2026-03-03 00:54:37.852111,RS,Móveis,1283.25,12,3
ORD-00105,2025-10-28 00:54:37.852111,AM,Móveis,1101.42,22,1
ORD-00106,2025-11-25 00:54:37.852111,RJ,Informática,343.71,6,4
ORD-00107,2025-12-25 00:54:37.852111,SP,Beleza e Saúde,949.34,7,3
ORD-00108,2026-07-03 00:54:37.852111,RS,Informática,1112.43,16,2
ORD-00109,2026-07-16 00:54:37.852111,RS,Cama Mesa Banho,1903.96,8,5
ORD-00110,2026-03-31 00:54:37.852111,SP,Beleza e Saúde,764.75,5,4
ORD-00111,2026-01-24 00:54:37.852111,SC,Móveis,1961.19,8,5
ORD-00112,2025-09-19 00:54:37.852111,RS,Cama Mesa Banho,1107.49,10,5
ORD-00113,2025-11-18 00:54:37.852111,SP,Esportes,522.82,8,3
ORD-00114,2026-07-11 00:54:37.852111,SP,Cama Mesa Banho,423.75,2,5
ORD-00115,2026-06-26 00:54:37.852111,SP,Beleza e Saúde,326.31,3,5
ORD-00116,2026-06-12 00:54:37.852111,PE,Beleza e Saúde,933.22,24,3
ORD-00117,2026-01-09 00:54:37.852111,AM,Móveis,92.76,23,1
ORD-00118,2025-10-24 00:54:37.852111,PE,Eletrônicos,917.84,16,3
ORD-00119,2026-05-06 00:54:37.852111,RJ,Esportes,1977.39,6,4
ORD-00120,2026-02-22 00:54:37.852111,BA,Móveis,1356.71,19,3
ORD-00121,2025-08-18 00:54:37.852111,PE,Esportes,1531.58,25,1
ORD-00122,2026-01-11 00:54:37.852111,PE,Esportes,282.06,18,2
ORD-00123,2026-07-09 00:54:37.852111,AM,Móveis,972.55,23,1
ORD-00124,2025-12-29 00:54:37.852111,BA,Cama Mesa Banho,608.14,31,1
ORD-00125,2026-05-04 00:54:37.852111,PR,Informática,1793.49,11,4
ORD-00126,2026-04-04 00:54:37.852111,SP,Esportes,403.52,5,3
ORD-00127,2025-11-29 00:54:37.852111,CE,Beleza e Saúde,944.53,21,1
ORD-00128,2026-08-08 00:54:37.852111,BA,Móveis,1196.69,16,1
ORD-00129,2026-01-07 00:54:37.852111,RJ,Eletrônicos,1052.38,9,5
ORD-00130,2025-12-01 00:54:37.852111,SC,Cama Mesa Banho,1668.97,10,5
ORD-00131,2025-08-19 00:54:37.852111,RJ,Esportes,501.33,4,4
ORD-00132,2025-11-03 00:54:37.852111,SP,Eletrônicos,785.91,3,4
ORD-00133,2026-01-18 00:54:37.852111,BA,Cama Mesa Banho,1594.56,23,2
ORD-00134,2026-07-29 00:54:37.852111,RJ,Móveis,1079.74,6,5
ORD-00135,2025-09-01 00:54:37.852111,RJ,Eletrônicos,834.13,4,5
ORD-00136,2026-07-02 00:54:37.852111,PR,Beleza e Saúde,107.41,11,3
ORD-00137,2026-02-15 00:54:37.852111,PR,Esportes,1519.1,5,3
ORD-00138,2026-06-11 00:54:37.852111,BA,Esportes,1945.76,18,1
ORD-00139,2025-08-26 00:54:37.852111,SP,Eletrônicos,1259.56,5,4
ORD-00140,2025-12-25 00:54:37.852111,PE,Cama Mesa Banho,1720.26,26,1
ORD-00141,2025-12-15 00:54:37.852111,MG,Móveis,1057.91,3,5
ORD-00142,2026-06-22 00:54:37.852111,RS,Informática,501.78,6,4
ORD-00143,2026-05-09 00:54:37.852111,CE,Esportes,78.16,13,2
ORD-00144,2026-01-03 00:54:37.852111,RS,Beleza e Saúde,1324.13,5,3
